NAME,COUNTY,HAS_RAIL,HAS_FERRY,HAS_BUS
Stockton,San Joaquin,1,0,1
Lodi,San Joaquin,0,0,0
Lodi,San Joaquin,0,0,0
Lodi,San Joaquin,0,0,0
Lodi,San Joaquin,0,0,1
Live Oak,Sutter,0,0,1
Anderson,Shasta,0,0,1
Redding,Shasta,0,0,0
Redding,Shasta,0,0,1
Shasta Lake,Shasta,0,0,1
Alturas,Modoc,0,0,1
Paso Robles,San Luis Obispo,0,0,0
San Diego,San Diego,0,0,0
Thousand Oaks,Ventura,0,0,0
Camarillo,Ventura,0,0,0
Thousand Oaks,Ventura,0,0,1
Camarillo,Ventura,1,0,1
Moorpark,Ventura,1,0,1
Ventura,Ventura,0,0,0
Ventura,Ventura,0,0,0
Santa Paula,Ventura,0,0,1
Fillmore,Ventura,0,0,0
Fillmore,Ventura,0,0,1
Ojai,Ventura,0,0,1
Lompoc,Santa Barbara,0,0,0
Solvang,Santa Barbara,0,0,1
Lompoc,Santa Barbara,0,0,0
Buellton,Santa Barbara,0,0,1
Lompoc,Santa Barbara,0,0,0
Lompoc,Santa Barbara,0,0,1
Santa Maria,Santa Barbara,0,0,0
Maricopa,Kern,0,0,0
Tehachapi,Kern,0,0,0
Tehachapi,Kern,0,0,1
Taft,Kern,0,0,1
Arvin,Kern,0,0,1
Shafter,Kern,0,0,0
Shafter,Kern,0,0,0
Shafter,Kern,0,0,1
Wasco,Kern,0,0,1
McFarland,Kern,0,0,1
Delano,Kern,0,0,0
Delano,Kern,0,0,0
Delano,Kern,0,0,0
Porterville,Tulare,0,0,0
Porterville,Tulare,0,0,0
Porterville,Tulare,0,0,0
Porterville,Tulare,0,0,0
Porterville,Tulare,0,0,0
Porterville,Tulare,0,0,0
Porterville,Tulare,0,0,0
Porterville,Tulare,0,0,0
Lindsay,Tulare,0,0,0
Tulare,Tulare,0,0,0
Exeter,Tulare,0,0,0
Exeter,Tulare,0,0,0
Farmersville,Tulare,0,0,0
Exeter,Tulare,0,0,0
Exeter,Tulare,0,0,0
Farmersville,Tulare,0,0,0
Visalia,Tulare,0,0,0
Woodlake,Tulare,0,0,0
Dinuba,Tulare,0,0,0
Watsonville,Santa Cruz,0,0,0
Watsonville,Santa Cruz,0,0,0
Watsonville,Santa Cruz,0,0,1
Watsonville,Santa Cruz,0,0,0
Santa Cruz,Santa Cruz,0,0,0
Dos Palos,Merced,0,0,0
Dos Palos,Merced,0,0,0
Watsonville,Santa Cruz,0,0,0
Dos Palos,Merced,0,0,0
Santa Cruz,Santa Cruz,0,0,0
Dos Palos,Merced,0,0,1
Scotts Valley,Santa Cruz,0,0,1
Los Banos,Merced,0,0,1
Los Banos,Merced,0,0,0
Gustine,Merced,0,0,0
Gustine,Merced,0,0,1
Atwater,Merced,0,0,0
Newman,Stanislaus,0,0,1
Atwater,Merced,0,0,1
Merced,Merced,0,0,1
Livingston,Merced,0,0,0
Livingston,Merced,0,0,1
Woodside,San Mateo,0,0,1
Redwood City,San Mateo,0,0,0
Redwood City,San Mateo,0,0,0
Patterson,Stanislaus,0,0,0
Patterson,Stanislaus,0,0,0
Patterson,Stanislaus,0,0,0
Atherton,San Mateo,1,0,1
Patterson,Stanislaus,0,0,0
