NAME,COUNTY,HAS_RAIL,HAS_FERRY,HAS_BUS
Healdsburg,Sonoma,0,0,0
Woodland,Yolo,0,0,0
Citrus Heights,Sacramento,0,0,0
Woodland,Yolo,0,0,1
Cloverdale,Sonoma,0,0,0
Cloverdale,Sonoma,0,0,0
Cloverdale,Sonoma,0,0,1
Loyalton,Sierra,0,0,0
Corning,Tehama,0,0,0
Corning,Tehama,0,0,0
Corning,Tehama,0,0,1
Tehama,Tehama,0,0,1
Red Bluff,Tehama,0,0,1
Dunsmuir,Siskiyou,0,0,1
Mount Shasta,Siskiyou,0,0,1
Weed,Siskiyou,0,0,1
Etna,Siskiyou,0,0,1
Fort Jones,Siskiyou,0,0,1
Montague,Siskiyou,0,0,1
Yreka,Siskiyou,0,0,1
Tulelake,Siskiyou,0,0,1
Dorris,Siskiyou,0,0,0
Rancho Cordova,Sacramento,1,0,1
Bakersfield,Kern,0,0,1
Santa Rosa,Sonoma,0,0,1
Santa Cruz,Santa Cruz,0,0,0
Simi Valley,Ventura,1,0,1
Patterson,Stanislaus,0,0,0
Modesto,Stanislaus,0,0,0
